fixture_id,fixture_date,team_name,team_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
194577,2015-08-22T13:30:00+00:00,FC Schalke 04,174,5.0,10,21,6.0,10,11,0,6,4.0,77%,1.0,0,3.0,602,507,84%,"Benjamin Brand, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,741.0,VELTINS-Arena,Gelsenkirchen,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
194577,2015-08-22T13:30:00+00:00,SV Darmstadt 98,181,3.0,3,9,3.0,4,5,0,6,2.0,23%,2.0,0,4.0,171,79,46%,"Benjamin Brand, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,741.0,VELTINS-Arena,Gelsenkirchen,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
194578,2015-08-22T13:30:00+00:00,Eintracht Frankfurt,169,3.0,6,11,2.0,8,3,0,7,5.0,54%,2.0,0,3.0,402,303,75%,"Florian Meyer, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,,Commerzbank-Arena,Frankfurt,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
194578,2015-08-22T13:30:00+00:00,FC Augsburg,170,4.0,7,14,3.0,6,8,0,4,4.0,46%,3.0,0,2.0,346,240,69%,"Florian Meyer, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,,Commerzbank-Arena,Frankfurt,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
194579,2015-08-22T13:30:00+00:00,1.FC Köln,192,6.0,2,9,1.0,7,2,0,2,2.0,30%,2.0,0,5.0,266,180,68%,"Knut Kircher, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,,RheinEnergieStadion,Cologne,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
194579,2015-08-22T13:30:00+00:00,VfL Wolfsburg,161,7.0,7,15,1.0,10,5,0,4,0.0,70%,1.0,0,5.0,624,522,84%,"Knut Kircher, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,,RheinEnergieStadion,Cologne,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
194580,2015-08-22T13:30:00+00:00,Hannover 96,166,3.0,2,5,0.0,0,5,0,3,2.0,40%,,0,3.0,341,219,64%,"Wolfgang Stark, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,721.0,HDI Arena,Hannover,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,False,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
194580,2015-08-22T13:30:00+00:00,Bayer Leverkusen,168,4.0,4,11,3.0,6,5,0,8,1.0,60%,,0,3.0,490,394,80%,"Wolfgang Stark, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,721.0,HDI Arena,Hannover,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,False,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
194581,2015-08-22T13:30:00+00:00,1899 Hoffenheim,167,1.0,4,8,3.0,4,4,0,5,1.0,26%,3.0,0,7.0,222,126,57%,"Tobias Stieler, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,,WIRSOL Rhein-Neckar-Arena,Sinsheim,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,False,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
194581,2015-08-22T13:30:00+00:00,Bayern Munich,157,9.0,8,21,4.0,16,5,0,6,6.0,74%,4.0,1,0.0,608,516,85%,"Tobias Stieler, Germany",UTC,2015-08-22T13:30:00+00:00,1440250200,1440250200.0,1440253800.0,,WIRSOL Rhein-Neckar-Arena,Sinsheim,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,False,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
